None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
101,AAPL,1981-05-08,28.0,28.12,28.0,28.0,35300.0,0.0,1.0,0.41167880503113,0.41344314276698,0.41167880503113,0.41167880503113,1976800.0
102,AAPL,1981-05-11,27.5,27.5,27.38,27.38,53300.0,0.0,1.0,0.40432739779844,0.40432739779844,0.40256306006259,0.40256306006259,2984800.0
103,AAPL,1981-05-12,27.38,27.75,27.38,27.38,19000.0,0.0,1.0,0.40256306006259,0.40800310141478,0.40256306006259,0.40256306006259,1064000.0
104,AAPL,1981-05-13,27.38,27.62,27.25,27.25,21900.0,0.0,1.0,0.40256306006259,0.40609173553428,0.40065169418209,0.40065169418209,1226400.0
105,AAPL,1981-05-14,27.13,27.13,26.87,26.87,22000.0,0.0,1.0,0.39888735644624,0.39888735644624,0.39506462468523,0.39506462468523,1232000.0
106,AAPL,1981-05-15,27.5,27.88,27.5,27.5,21900.0,0.0,1.0,0.40432739779844,0.40991446729529,0.40432739779844,0.40432739779844,1226400.0
107,AAPL,1981-05-18,28.0,28.25,28.0,28.0,18600.0,0.0,1.0,0.41167880503113,0.41535450864748,0.41167880503113,0.41167880503113,1041600.0
108,AAPL,1981-05-19,27.62,27.62,27.5,27.5,113500.0,0.0,1.0,0.40609173553428,0.40609173553428,0.40432739779844,0.40432739779844,6356000.0
109,AAPL,1981-05-20,28.38,28.62,28.38,28.38,59300.0,0.0,1.0,0.41726587452798,0.42079454999968,0.41726587452798,0.41726587452798,3320800.0
110,AAPL,1981-05-21,30.0,30.13,30.0,30.0,143800.0,0.0,1.0,0.44108443396193,0.44299579984243,0.44108443396193,0.44108443396193,8052800.0
111,AAPL,1981-05-22,31.38,31.62,31.38,31.38,140300.0,0.0,1.0,0.46137431792418,0.46490299339587,0.46137431792418,0.46137431792418,7856800.0
112,AAPL,1981-05-26,31.38,31.38,31.25,31.25,381000.0,0.0,1.0,0.46137431792418,0.46137431792418,0.45946295204368,0.45946295204368,21336000.0
