Symbol,Date,Close,High,Low,Open,Volume
IBM,2010-06-24,128.19,129.73,127.7,129.61,5565558
IBM,2010-06-25,127.12,129.095,127.12,128.43,10420671
IBM,2010-06-28,128.98,129.47,127.22,127.32,6335135
IBM,2010-06-29,125.09,128.4,124.12,127.35,9378799
IBM,2010-06-30,123.48,125.22,123.0,124.83,8017939
IBM,2010-07-01,122.57,124.21,121.61,123.55,9742208
IBM,2010-07-02,121.86,123.29,120.61,123.29,6454413
IBM,2010-07-05,121.86,123.29,120.61,123.29,0
IBM,2010-07-06,123.46,124.63,122.17,123.58,6348708
IBM,2010-07-07,127.0,127.12,123.47,123.47,7090291
IBM,2010-07-08,127.97,128.15,126.74,127.37,5439963
IBM,2010-07-09,127.96,128.2,127.29,127.9,3898464
IBM,2010-07-12,128.67,128.83,127.16,127.37,4206871
IBM,2010-07-13,130.48,130.98,128.69,128.97,6687660
IBM,2010-07-14,130.72,131.6,129.14,129.32,6607133
IBM,2010-07-15,130.72,130.92,129.55,129.87,6187523
IBM,2010-07-16,128.03,130.15,127.85,129.96,7002854
IBM,2010-07-19,129.79,130.38,128.37,128.67,8388586
IBM,2010-07-20,126.55,126.56,122.93,122.97,16340314
IBM,2010-07-21,125.27,126.5,124.62,126.44,8615430
IBM,2010-07-22,127.47,127.78,126.05,126.32,6909088
IBM,2010-07-23,128.38,128.8,127.0,127.3,5077974
IBM,2010-07-26,128.41,128.43,127.14,128.18,5172270
IBM,2010-07-27,128.63,129.17,127.89,128.78,4648527
IBM,2010-07-28,128.43,129.35,127.88,128.67,4252631
IBM,2010-07-29,128.02,129.5,127.14,129.06,8997318
IBM,2010-07-30,128.4,128.98,127.04,127.43,6025837
IBM,2010-08-02,130.76,131.2,129.25,129.25,6437441
IBM,2010-08-03,130.37,131.04,129.33,130.03,5091953
IBM,2010-08-04,131.27,131.5,129.85,130.46,4573074
IBM,2010-08-05,131.83,131.98,130.53,130.73,4523103
IBM,2010-08-06,130.14,130.48,128.76,130.41,6137850
IBM,2010-08-09,132.0,132.34,130.4,130.79,6135341
IBM,2010-08-10,131.84,132.49,130.77,131.18,5471688
IBM,2010-08-11,129.83,130.69,129.461,130.69,6318083
IBM,2010-08-12,128.3,128.78,127.52,127.69,5132391
IBM,2010-08-13,127.87,128.46,127.33,127.96,4670519
IBM,2010-08-16,127.77,128.23,126.96,127.47,4005302
IBM,2010-08-17,128.45,129.85,127.905,128.83,4298556
IBM,2010-08-18,129.3925,130.195,127.8,128.87,4883300
IBM,2010-08-19,128.9,129.59,128.02,128.67,5402547
IBM,2010-08-20,127.5,128.98,126.96,128.72,6246279
IBM,2010-08-23,126.47,128.03,126.44,127.57,4034693
IBM,2010-08-24,124.9,126.02,124.57,125.21,5624039
IBM,2010-08-25,125.27,125.6,124.0,124.57,5239579
IBM,2010-08-26,122.78,125.78,122.78,125.78,7748597
IBM,2010-08-27,124.73,124.8,122.42,123.83,6214197
IBM,2010-08-30,123.4,125.2699,123.4,125.08,3603963
IBM,2010-08-31,123.13,123.99,122.28,123.31,5624125
IBM,2010-09-01,125.77,126.31,124.52,125.31,5624070
IBM,2010-09-02,125.04,126.23,124.65,126.03,5104538
IBM,2010-09-03,127.58,127.6,125.9001,126.02,5144355
IBM,2010-09-06,127.58,127.6,125.9001,126.02,0
IBM,2010-09-07,125.95,127.36,125.8801,126.99,4353927
IBM,2010-09-08,126.08,126.5199,125.39,126.38,4486438
IBM,2010-09-09,126.36,127.57,126.15,127.25,3437612
IBM,2010-09-10,127.99,128.29,126.26,126.99,4419379
IBM,2010-09-13,129.61,130.0,128.52,128.63,5272370
IBM,2010-09-14,128.85,129.92,128.43,128.43,4851469
IBM,2010-09-15,129.43,129.96,128.54,128.77,4762454
IBM,2010-09-16,129.67,129.95,128.8,129.2,4685578
IBM,2010-09-17,130.19,130.6,129.7,129.92,10397659
IBM,2010-09-20,131.79,132.09,130.11,130.24,7214702
IBM,2010-09-21,131.98,132.8,130.78,131.45,5268605
IBM,2010-09-22,132.57,132.58,131.4,131.61,4922526
IBM,2010-09-23,131.67,132.78,131.22,131.42,3898904
IBM,2010-09-24,134.11,134.15,132.34,132.42,7122325
IBM,2010-09-27,134.65,135.0,133.51,133.51,6155512
IBM,2010-09-28,134.89,135.14,133.71,134.67,7484022
IBM,2010-09-29,135.48,135.805,134.34,134.4,5151624
IBM,2010-09-30,134.14,136.11,133.67,135.5,6432129
IBM,2010-10-01,135.64,136.28,135.09,135.51,5621197
IBM,2010-10-04,135.25,135.92,134.39,135.23,4063857
IBM,2010-10-05,137.66,137.9015,136.12,136.18,6202496
IBM,2010-10-06,137.84,137.96,136.83,136.88,4782906
IBM,2010-10-07,138.72,138.88,137.52,137.92,6440718
IBM,2010-10-08,138.85,139.09,138.06,138.4,4543943
IBM,2010-10-11,139.66,139.94,138.64,138.79,4009658
IBM,2010-10-12,139.85,139.99,138.27,138.4,5639174
IBM,2010-10-13,140.37,141.48,139.78,139.91,8788326
IBM,2010-10-14,141.5,141.5,139.69,140.35,5658943
IBM,2010-10-15,141.06,142.1,140.54,142.1,7224057
IBM,2010-10-18,142.83,143.03,140.84,140.9,10341157
IBM,2010-10-19,138.03,139.34,136.7,137.3,14160546
IBM,2010-10-20,139.07,139.87,138.13,138.28,6954831
IBM,2010-10-21,139.83,140.49,138.4,139.81,6230393
IBM,2010-10-22,139.67,140.75,139.46,140.15,4105311
IBM,2010-10-25,139.84,141.4,139.81,140.42,4870212
IBM,2010-10-26,140.67,142.0,138.53,139.29,7328198
IBM,2010-10-27,141.43,141.57,139.0,139.52,6467113
IBM,2010-10-28,140.9,141.95,140.42,141.84,5482601
IBM,2010-10-29,143.6,144.0,140.75,140.9,8444096
IBM,2010-11-01,143.32,144.26,142.32,143.64,5676036
IBM,2010-11-02,143.84,144.71,143.71,143.85,4626496
IBM,2010-11-03,144.17,144.46,142.63,144.24,5182447
IBM,2010-11-04,146.79,146.84,144.71,144.82,6626305
IBM,2010-11-05,146.92,146.93,145.67,145.94,4996376
IBM,2010-11-08,146.46,146.58,145.25,145.35,4273819
IBM,2010-11-09,146.14,147.53,145.63,146.7,5701284
IBM,2010-11-10,146.55,146.79,145.63,146.09,5175737
IBM,2010-11-11,145.43,145.5,143.35,144.7,4752261
IBM,2010-11-12,143.74,145.77,143.55,144.59,4732937
IBM,2010-11-15,143.64,144.75,143.27,143.89,3828151
IBM,2010-11-16,142.24,143.38,141.18,142.93,6350519
